filename,abs_path,source_dir,frames,rows,cols,photometric,bits_stored,pixel_spacing,frame_time,frame_rate,manufacturer,model_name,rescale_intercept,rescale_slope
1,/mnt/pro/DSA/data/ori_data/DICOM1/1,/mnt/pro/DSA/data/ori_data/DICOM1,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
10,/mnt/pro/DSA/data/ori_data/DICOM1/10,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
100,/mnt/pro/DSA/data/ori_data/DICOM1/100,/mnt/pro/DSA/data/ori_data/DICOM1,25,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
101,/mnt/pro/DSA/data/ori_data/DICOM1/101,/mnt/pro/DSA/data/ori_data/DICOM1,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
102,/mnt/pro/DSA/data/ori_data/DICOM1/102,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
11,/mnt/pro/DSA/data/ori_data/DICOM1/11,/mnt/pro/DSA/data/ori_data/DICOM1,43,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
12,/mnt/pro/DSA/data/ori_data/DICOM1/12,/mnt/pro/DSA/data/ori_data/DICOM1,24,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
13,/mnt/pro/DSA/data/ori_data/DICOM1/13,/mnt/pro/DSA/data/ori_data/DICOM1,45,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
14,/mnt/pro/DSA/data/ori_data/DICOM1/14,/mnt/pro/DSA/data/ori_data/DICOM1,38,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
15,/mnt/pro/DSA/data/ori_data/DICOM1/15,/mnt/pro/DSA/data/ori_data/DICOM1,35,1024,1024,MONOCHROME2,10,None,,4.0,Philips,UNIQ Clarity,0,1
16,/mnt/pro/DSA/data/ori_data/DICOM1/16,/mnt/pro/DSA/data/ori_data/DICOM1,40,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
17,/mnt/pro/DSA/data/ori_data/DICOM1/17,/mnt/pro/DSA/data/ori_data/DICOM1,37,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
18,/mnt/pro/DSA/data/ori_data/DICOM1/18,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
19,/mnt/pro/DSA/data/ori_data/DICOM1/19,/mnt/pro/DSA/data/ori_data/DICOM1,43,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
2,/mnt/pro/DSA/data/ori_data/DICOM1/2,/mnt/pro/DSA/data/ori_data/DICOM1,48,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
20,/mnt/pro/DSA/data/ori_data/DICOM1/20,/mnt/pro/DSA/data/ori_data/DICOM1,44,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
21,/mnt/pro/DSA/data/ori_data/DICOM1/21,/mnt/pro/DSA/data/ori_data/DICOM1,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
22,/mnt/pro/DSA/data/ori_data/DICOM1/22,/mnt/pro/DSA/data/ori_data/DICOM1,35,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
23,/mnt/pro/DSA/data/ori_data/DICOM1/23,/mnt/pro/DSA/data/ori_data/DICOM1,55,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
24,/mnt/pro/DSA/data/ori_data/DICOM1/24,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
25,/mnt/pro/DSA/data/ori_data/DICOM1/25,/mnt/pro/DSA/data/ori_data/DICOM1,49,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
26,/mnt/pro/DSA/data/ori_data/DICOM1/26,/mnt/pro/DSA/data/ori_data/DICOM1,44,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
27,/mnt/pro/DSA/data/ori_data/DICOM1/27,/mnt/pro/DSA/data/ori_data/DICOM1,26,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
28,/mnt/pro/DSA/data/ori_data/DICOM1/28,/mnt/pro/DSA/data/ori_data/DICOM1,45,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
29,/mnt/pro/DSA/data/ori_data/DICOM1/29,/mnt/pro/DSA/data/ori_data/DICOM1,43,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
3,/mnt/pro/DSA/data/ori_data/DICOM1/3,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
30,/mnt/pro/DSA/data/ori_data/DICOM1/30,/mnt/pro/DSA/data/ori_data/DICOM1,55,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
31,/mnt/pro/DSA/data/ori_data/DICOM1/31,/mnt/pro/DSA/data/ori_data/DICOM1,46,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
32,/mnt/pro/DSA/data/ori_data/DICOM1/32,/mnt/pro/DSA/data/ori_data/DICOM1,47,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
33,/mnt/pro/DSA/data/ori_data/DICOM1/33,/mnt/pro/DSA/data/ori_data/DICOM1,47,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
